a,(an) 一
market,市場;股票市場;市集[C]
married,"已婚的,有配偶的"
math,"【美】【口】=mathematics, 數學[J]"
matter,事情;問題;事件[C]
may,"(might)(表示可能性)可能,也許"
May,五月
maybe,"大概,或許,可能"
meal,膳食;一餐
mean,"吝嗇的,小氣的[(+about/over/with)]"
meat,(食用的)肉
medicine,"藥,內服藥[C][U]"
medium,中間;中庸;適中
meet,遇見;碰上
meeting,會議;集會;會
menu,菜單
mile,"英里,哩"
milk,乳;牛奶
million,"百萬;百萬元(鎊,美元,法郎等)"
mind,"n. 頭腦,智力[C][U]; vt. 注意,留意,記住要[+(that)][+wh-]"
minute,分(鐘)(時間單位)
Miss,"(用于姓名或姓之前, 尤指對未婚女子的稱呼) 女士, 小姐"
miss,"未擊中;未得到;未達到;未看到;未聽到;未領會[+v-ing], (通常大寫)(用於姓名或姓之前,尤指對未婚女子的稱呼)小姐[C]"
mistake,"弄錯,誤解"
modern,現代的;近代的[Z]
moment,瞬間;片刻[C]
Monday,星期一
money,"錢;貨幣,通貨[U]"
monkey,猴子[C]
month,月
moon,月球[the S]
more,"(many, much的比較級)更多的;更高程度的[+(than)]"
morning,早晨;上午[C][U]
most,"(many, much的最高級)最多的;最高程度的"
mother,"(mom, mommy)母親;媽媽"
motorcycle,摩托車[C]
mountain,山
mouse,鼠
mouth,"(人,動物的)嘴"
move,"使移動,搬動;開動"
movie,"電影,影片"
Mr.,"(mister之簡稱;用於男士的姓,姓名或職務之前)先生[C]"
Mrs.,"(mistress之簡稱;用於已婚女性的夫姓或夫的姓名之前)夫人,太太[C]"
Ms.,女士(用於婚姻狀況不明或不願提及婚姻狀況之女性的姓或姓名之前)
much,許多;大量的;很大程度的
museum,博物館
music,音樂;樂曲;音樂作品
must,"(表示必要,命令或強制)必須,得"
name,"名字,姓名;名稱[C]"
national,全國性的
near,近的
neck,"頸,脖子[C]"
need,需要;必要;需求;要求[S][(+of/for)][+to-v]
never,從未;永不;決不
new,新的;新鮮的;新型的
news,新聞;消息;報導[U][(+of/about)]
next,"緊鄰的,貼近的"
nice,"好的;美好的,宜人的;可愛的"
night,夜;晚上[C][U]
nine,九的;九個的
nineteen,十九[C]
ninety,九十[C]
ninth,"(與the連用)第九的,第九個的"
no,沒有
nobody,"無人,沒有人"
nod,點頭
noise,聲響;喧鬧聲[C][U]
noodle,(常複數)麵條
noon,"正午,中午[U]"
north,"北,北方[the S]"
nose,鼻[C]
not,不
notebook,筆記本;手冊;期票簿[C]
nothing,無事;無物;沒什麼
notice,"公告,通知,貼示[C]"
November,十一月
now,"現在,目前,此刻"
number,"數,數字[C]"
nurse,護士
o'clock,…點鐘
October,十月
of,"…的,屬於"
off,"(離)開,(走)開,(隔)開"
office,辦公室[C]
officer,軍官
often,"常常,時常"
oil,油[U]
O.K.,可以的;不錯的[F][(+by/with)]
old,"老的,上了年紀的"
on,在…上
once,"一次,一回"
one,一;一個
only,"唯一的,僅有的"
open,打開的
or,或者;還是
orange,"橙,柳橙[C]"
order,"順序,次序[U]"
other,(兩者中)另一個的;其餘的
out,出外;在外;向外
outside,"外面,外部[the S]"
over,"在…之上,在正上方"
own,自己的
pack,包;捆;包裹;背包
package,包裹;包[(+of)]
page,(書等的)頁
paint,"油漆,塗料[U]"
pair,"一對,一雙,(兩部分形成的)一件[C][(+of)]"
pants,"褲子,寬鬆的長褲"
paper,紙[U]
parent,父親;母親
park,公園;遊樂場
part,"一部分,部分[C][U][(+of)]"
party,"聚會,集會,派對"
pass,前進;通過;經過;超過
past,過去的;剛過去的
pay,"付,支付;付款給[O1][(+for/to)]"
PE,Err:509
pen,"筆[C],鋼筆"
pencil,鉛筆
people,人們[S][K]
perhaps,"大概,或許,可能"
person,人;【貶】傢伙[C]
pet,"供玩賞的動物,寵物"
piano,鋼琴[C]
pick,"挑選,選擇[O2]"
picnic,"(自帶食物的)郊遊,野餐;(個人自帶食品的)聚餐[C]"
picture,畫;畫像;圖片;照片[(+of)]
pie,派(酥殼有餡的餅);餡餅
piece,"一個,一張,一片;一塊[C][(+of)]"
pig,豬;小豬[C]
pink,"粉紅色,桃紅色[C][U]"
pizza,(塗有番茄醬、乳酪等的)義大利肉餡餅;比薩餅
place,"地方,地點;地區;位置[C]"
plan,計劃;方案;打算[(+for/of)][+to-v]
play,玩耍;遊戲;戲弄;玩弄[(+with)]
player,遊戲的人;打牌的人;下棋的人
playground,"(學校的)操場,運動場;(兒童)遊樂場"
please,"使高興,使喜歡,使滿意[W], (用於請求或命令)請"
p.m.,Err:501
point,"尖,尖端,尖頭[C][(+of)]"
police,"警察,警方[the S][K]"
polite,"有禮貌的,客氣的;殷勤的"
poor,"貧窮的,貧困的"
popcorn,爆玉米花
popular,民眾的;大眾的[Z][B]
pork,豬肉[U]
possible,可能的
post office,郵局[C]
postcard,郵政明信片
pound,(重量單位)磅[C]
practice,"實行,實施,實踐[U]"
prepare,準備;使…準備好[(+for)][O2]
present,"出席的,在場的[F]"
pretty,"(用於女性,小孩及小物件)漂亮的;秀麗的;可愛的"
price,"價格,價錢[C]"
problem,"問題,疑難問題"
program,節目單;程序表
proud,"驕傲的,有自尊心的"
public,公眾的[Z][B]
pull,"拉,拖,牽,拽;搬走"
purple,紫色
push,"推;推動,推進"
put,"放,擺,裝"
queen,女王[(+of)]
question,問題;詢問[C]
quick,"快的,迅速的"
quiet,安靜的;輕聲的;沈默的
quite,"完全,徹底"
rabbit,兔;野兔[C]
radio,無線電;無線電話(或電報)[U][C]
railway,【主英】鐵路;鐵道
rain,"雨,雨水[U]"
rainbow,"虹,彩虹[C]"
rainy,下雨的;多雨的
read,"讀,閱讀;朗讀[O1]"
ready,準備好的[F][(+for)][+to-v]
real,"真的,真正的;衷心的;真誠的"
really,"真地,確實,實際上"
red,"紅的,紅色的"
refrigerator,"冰箱,雪櫃;冷藏室;冷凍庫[C]"
remember,"記得,想起,回憶起[(+as)][+(that)][+wh-][+v-ing][O4]"
repeat,重複;重做;重說[+wh-]
rest,休息;休養;休息時間[C][U][(+from)]
restaurant,"餐館,飯店[C]"
restroom,"休息室, 【美】廁所"
rice,"稻,穀"
rich,"有錢的,富有的[R]"
ride,"騎馬,乘車;騎馬(或乘車)旅行[Q]
騎馬,乘車;騎馬(或乘車)旅行[Q]"
right,"a. 右的,右邊的,右側的[B], 正確的,準確的[(+in)]"
ring,圈;環;環形物
river,"江,河"
road,"路,道路,公路"
